gen	invalid	train_fitness	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	best_ind_phenotype
0	0	0.5787763595581055	7	66.22587719298245	3	29.085526315789473	4	12.695175438596491	44.33771929824562	5	0.9692982456140351	nan
1	65	(0.5787763595581055, 0.02777777798473835, 0.1111111111111111, 0.21877530217170715)	7	73.28061224489795	3	15.76530612244898	4	8.255102040816327	23.897959183673468	5	0.8140043763676149	nan
2	49	(0.5787763595581055, 0.02777777798473835, 0.1111111111111111, 0.21877530217170715)	7	66.00245098039215	3	12.352941176470589	4	7.117647058823529	18.862745098039216	5	0.8030634573304157	nan
3	32	(0.5787763595581055, 0.02777777798473835, 0.1111111111111111, 0.21877530217170715)	7	62.51529411764706	3	10.327058823529411	4	6.442352941176471	15.623529411764705	5	0.7943107221006565	nan
4	41	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	51.66826923076923	9	6.7860576923076925	6	5.262019230769231	10.132211538461538	14	0.6805251641137856	nan
5	28	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	39.634032634032636	9	4.5524475524475525	6	4.5174825174825175	6.4825174825174825	14	0.5579868708971554	nan
6	29	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	37.32943925233645	9	3.6728971962616823	6	4.224299065420561	4.890186915887851	14	0.44638949671772427	nan
7	20	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	38.267734553775746	9	3.5766590389016018	6	4.192219679633867	4.4302059496567505	14	0.40700218818380746	nan
8	23	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	38.705069124423964	9	3.2004608294930876	6	4.066820276497696	3.7004608294930876	14	0.34573304157549234	nan
9	24	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	38.812933025404156	9	3.2494226327944573	6	4.083140877598153	3.967667436489607	14	0.3479212253829322	nan
10	21	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	40.46788990825688	9	3.1513761467889907	6	4.0504587155963305	4.146788990825688	14	0.3916849015317287	nan
11	19	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	43.726027397260275	9	3.184931506849315	6	4.061643835616438	4.445205479452055	14	0.3851203501094092	nan
12	14	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	44.20993227990971	9	3.2031602708803613	6	4.067720090293454	4.604966139954853	14	0.4288840262582057	nan
13	6	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	43.55210643015521	9	3.186252771618625	6	4.062084257206209	4.578713968957872	14	0.4179431072210066	nan
14	11	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	45.091928251121075	9	3.2286995515695067	6	4.076233183856503	4.7040358744394615	14	0.4485776805251641	nan
15	14	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	45.37471783295711	9	3.115124153498871	6	4.038374717832957	4.5598194130925505	14	0.42669584245076586	nan
16	11	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	44.02914798206278	9	3.181614349775785	6	4.060538116591928	4.621076233183857	14	0.4201312910284464	nan
17	9	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	43.24330357142857	9	3.1941964285714284	6	4.064732142857143	4.700892857142857	14	0.4420131291028446	nan
18	8	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	44.1826280623608	9	3.1469933184855234	6	4.048997772828508	4.610244988864142	14	0.4551422319474836	nan
19	5	(0.5286840796470642, 0.08609112352132797, 0.3333333333333333, 0.24366450309753418)	21	46.584070796460175	9	3.146017699115044	6	4.048672566371682	4.685840707964601	14	0.4442013129102845	nan
20	11	(0.5202639997005463, 0.08917754143476486, 0.3333333333333333, 0.24410544335842133)	21	47.53139013452915	9	3.188340807174888	6	4.062780269058296	4.726457399103139	14	0.45295404814004375	nan
21	6	(0.5202639997005463, 0.08917754143476486, 0.3333333333333333, 0.24410544335842133)	21	49.028824833702885	9	3.1330376940133036	6	4.044345898004434	4.7028824833702885	14	0.4638949671772429	nan
22	10	(0.5202639997005463, 0.08917754143476486, 0.3333333333333333, 0.24410544335842133)	21	48.722595078299776	9	3.1946308724832213	6	4.064876957494407	4.865771812080537	14	0.47921225382932164	nan
23	1	(0.5202639997005463, 0.08917754143476486, 0.3333333333333333, 0.24410544335842133)	21	49.796052631578945	9	3.2434210526315788	6	4.081140350877193	4.923245614035087	14	0.474835886214442	nan
24	3	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	48.21145374449339	9	3.1123348017621146	6	4.037444933920705	4.795154185022026	15	0.49452954048140046	nan
25	5	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	47.966814159292035	9	3.2123893805309733	6	4.070796460176991	4.90929203539823	15	0.4442013129102845	nan
26	3	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	49.691629955947135	9	3.092511013215859	6	4.030837004405286	4.737885462555066	15	0.4814004376367615	nan
27	2	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	49.44835164835165	9	3.0923076923076924	6	4.030769230769231	4.810989010989011	15	0.49671772428884026	nan
28	8	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	50.70378619153675	9	3.093541202672606	6	4.031180400890869	4.728285077951003	15	0.45951859956236324	nan
29	6	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	51.34146341463415	9	3.139689578713969	6	4.046563192904657	4.831485587583148	15	0.47045951859956237	nan
30	2	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	53.45054945054945	9	3.1252747252747253	6	4.041758241758242	4.808791208791209	15	0.4682713347921225	nan
31	2	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	54.51648351648352	9	3.131868131868132	6	4.043956043956044	4.810989010989011	15	0.47921225382932164	nan
32	1	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	54.78508771929825	9	3.1907894736842106	6	4.06359649122807	4.855263157894737	15	0.4551422319474836	nan
33	5	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	51.847345132743364	9	3.2057522123893807	6	4.06858407079646	4.938053097345133	15	0.45076586433260396	nan
34	4	(0.5189111232757568, 0.07521117478609085, 0.2222222222222222, 0.2301839143037796)	16	52.324503311258276	9	3.198675496688742	6	4.066225165562914	4.874172185430464	15	0.4485776805251641	nan
35	5	(0.47276514768600464, 0.0906432718038559, 0.2222222222222222, 0.24561598896980286)	43	47.72787610619469	9	3.2123893805309733	6	4.070796460176991	4.915929203539823	15	0.4617067833698031	nan
36	3	(0.47276514768600464, 0.0906432718038559, 0.2222222222222222, 0.24561598896980286)	43	49.37224669603524	9	3.2577092511013217	6	4.08590308370044	5.013215859030837	15	0.5076586433260394	nan
37	5	(0.47276514768600464, 0.0906432718038559, 0.2222222222222222, 0.24561598896980286)	43	49.85176991150443	9	3.2986725663716814	6	4.099557522123894	5.079646017699115	15	0.49452954048140046	nan
38	4	(0.47276514768600464, 0.0906432718038559, 0.2222222222222222, 0.24561598896980286)	43	49.06622516556291	9	3.3046357615894038	6	4.101545253863135	5.06401766004415	15	0.5054704595185996	nan
39	5	(0.47276514768600464, 0.0906432718038559, 0.2222222222222222, 0.24561598896980286)	43	47.807522123893804	9	3.2787610619469025	6	4.092920353982301	4.871681415929204	15	0.487964989059081	nan
40	9	(0.4653823971748352, 0.19558154046535492, 0.3333333333333333, 0.19617727398872375)	44	47.872767857142854	12	3.2745535714285716	7	4.091517857142857	4.977678571428571	20	0.47702407002188185	nan
41	1	(0.4653823971748352, 0.19558154046535492, 0.3333333333333333, 0.19617727398872375)	44	49.35964912280702	12	3.2434210526315788	7	4.081140350877193	4.9035087719298245	20	0.4638949671772429	nan
42	1	(0.4653823971748352, 0.19558154046535492, 0.3333333333333333, 0.19617727398872375)	44	49.324561403508774	12	3.3092105263157894	7	4.103070175438597	4.982456140350878	20	0.487964989059081	nan
43	1	(0.4653823971748352, 0.19558154046535492, 0.3333333333333333, 0.19617727398872375)	44	51.666666666666664	12	3.414473684210526	7	4.1381578947368425	5.109649122807017	20	0.5098468271334792	nan
44	4	(0.4653823971748352, 0.19558154046535492, 0.3333333333333333, 0.19617727398872375)	44	51.51876379690949	12	3.3973509933774833	7	4.132450331125828	4.997792494481236	20	0.4551422319474836	nan
45	1	(0.4653823971748352, 0.19558154046535492, 0.3333333333333333, 0.19617727398872375)	44	51.39473684210526	12	3.3289473684210527	7	4.109649122807017	4.984649122807017	20	0.47921225382932164	nan
46	0	(0.4653823971748352, 0.19558154046535492, 0.3333333333333333, 0.19617727398872375)	44	51.24070021881838	12	3.3938730853391683	7	4.131291028446389	5.019693654266958	20	0.47045951859956237	nan
47	1	(0.4560147523880005, 0.198667973279953, 0.3333333333333333, 0.19838188588619232)	30	49.30263157894737	12	3.348684210526316	7	4.116228070175438	5.120614035087719	20	0.4682713347921225	nan
48	4	(0.4560147523880005, 0.198667973279953, 0.3333333333333333, 0.19838188588619232)	30	50.375275938189844	12	3.3245033112582782	7	4.108167770419426	5.077262693156733	20	0.4201312910284464	nan
49	1	(0.4560147523880005, 0.198667973279953, 0.3333333333333333, 0.19838188588619232)	30	49.93421052631579	12	3.4276315789473686	7	4.142543859649122	5.2214912280701755	20	0.4638949671772429	nan
50	3	(0.4560147523880005, 0.198667973279953, 0.3333333333333333, 0.19838188588619232)	30	49.58370044052864	12	3.3303964757709252	7	4.110132158590308	5.066079295154185	20	0.45076586433260396	x[0] += 6 ; x[7] -= 9 ; x[8] += 5 ; x[7] -= 8
